1500,1501,1505,1501,1505,1501,1503,1501,1504,1503,1502,1502,1504,1502,1499,1499,1500,1501,1504,1505,1500,1501,1503,1503,1504,1503,1500,1499,1503,1502,1501,1499,1502,1502,1503,1503,1498,1501,1502,1504,1499,1500,1498,1500,1501,1503,1501,1500,1501,1500,1502,1505,1500,1500,1501,1503,1501,1499,1504,1504,1500,1505,1504,1496,1504,1504,1499,1501,1505,1501,1498,1501,1506,1504,1504,1504,1503,1500,1499,1499,1504,1503,1500,1502,1505,1500,1500,1502,1501,1501,1500,1502,1502,1501,1502,1502,1502,1500,1504,1497,1501,1498,1504,1504,1502,1504,1501,1503,1502,1500,1499,1501,1502,1498,1503,1503,1502,1502,1504,1503,1499,1506,1500,1501,1502,1500,1504,1500,1501,1504,1498,1502,1503,1502,1503,1503,1504,1502,1504,1500,1506,1504,1505,1502,1499,1505,1503,1498,1503,1506,1503,1502,1504,1504,1500,1502,1503,1503,1503,1500,1503,1500,1500,1504,1501,1501,1503,1498,1500,1499,1501,1504,1502,1502,1502,1507,1504,1501,1501,1504,1502,1502,1503,1504,1501,1503,1498,1500,1503,1501,1503,1504,1501,1503,1505,1503,1499,1502,1503,1501,1503,1504,1500,1499,1499,1502,1501,1501,1499,1503,1505,1503,1501,1500,1502,1501,1503,1502,1506,1503,1503,1497,1503,1508,1502,1502,1507,1505,1500,1501,1502,1505,1505,1503,1506,1498,1501,1504,1500,1499,1504,1505,1504,1505,1500,1502,1501,1500,1502,1504,1504,1502,1502,1500,1505,1505,1502,1504,1503,1501,1503,1500,1503,1502,1502,1501,1503,1503,1503,1499,1502,1502,1505,1503,1501,1502,1499,1501,1500,1498,1505,1507,1506,1506,1499,1501,1504,1503,1504,1503,1501,1503,1501,1502,1503,1502,1504,1508,1504,1500,1499,1501,1506,1502,1503,1505,1501,1504,1500,1503,1502,1502,1502,1498,1505,1500,1500,1505,1501,1499,1503,1502,1498,1501,1505,1504,1502,1502,1500,1503,1503,1501,1503,1502,1507,1503,1501,1501,1503,1504,1504,1503,1502,1504,1501,1506,1502,1503,1501,1500,1501,1501,1497,1499,1503,1504,1506,1500,1502,1501,1503,1508,1500,1505,1502,1503,1500,1504,1501,1504,1501,1502,1504,1502,1500,1501,1503,1502,1502,1503,1504,1501,1501,1500,1503,1501,1501,1503,1502,1503,1503,1502,1503,1503,1500,1505,1502,1500,1499,1501,1501,1505,1504,1500,1502,1502,1500,1500,1505,1502,1499,1498,1502,1502,1500,1504,1502,1504,1499,1503,1502,1503,1502,1505,1504,1505,1504,1505,1504,1502,1505,1501,1501,1503,1504,1503,1503,1502,1503,1501,1503,1504,1501,1498,1500,1501,1500,1509,1500,1505,1503,1503,1502,1505,1502,1501,1505,1503,1500,1502,1503,1505,1501,1501,1496,1500,1502,1504,1503,1499,1504,1502,1506,1505,1502,1500,1502,1502,1505,1504,1506,1501,1503,1505,1503,1502,1503,1505,1501,1502,1501,1501,1504,1502,1501,1501,1502,1499,1503,1501
1505,1503,1506,1498,1503,1501,1504,1506,1507,1501,1503,1502,1503,1505,1500,1505,1503,1503,1503,1502,1505,1503,1504,1504,1502,1505,1506,1502,1504,1501,1501,1499,1506,1501,1504,1498,1504,1501,1504,1504,1506,1503,1500,1501,1504,1506,1505,1506,1504,1505,1506,1501,1502,1502,1502,1505,1503,1505,1502,1502,1501,1502,1503,1505,1503,1504,1506,1503,1503,1501,1502,1509,1501,1504,1501,1505,1501,1503,1503,1505,1501,1503,1504,1505,1504,1504,1503,1506,1504,1505,1503,1504,1505,1504,1503,1502,1506,1500,1506,1503,1499,1502,1506,1503,1502,1501,1504,1500,1500,1502,1500,1505,1507,1501,1501,1506,1506,1499,1505,1503,1505,1502,1500,1504,1504,1502,1503,1501,1504,1503,1504,1503,1509,1502,1505,1499,1505,1507,1504,1506,1502,1504,1506,1504,1501,1503,1503,1508,1503,1506,1503,1500,1507,1504,1502,1504,1507,1504,1503,1502,1501,1505,1502,1505,1502,1500,1503,1499,1506,1502,1502,1501,1502,1503,1501,1501,1503,1505,1502,1506,1503,1503,1504,1504,1504,1507,1504,1506,1504,1505,1500,1503,1501,1503,1505,1501,1499,1497,1503,1499,1501,1503,1499,1504,1500,1507,1503,1508,1503,1504,1501,1506,1506,1507,1501,1501,1506,1508,1502,1500,1505,1505,1506,1503,1507,1500,1503,1504,1502,1507,1503,1503,1504,1502,1507,1504,1508,1504,1502,1504,1503,1508,1503,1507,1506,1510,1504,1503,1502,1501,1507,1508,1503,1504,1507,1506,1502,1507,1505,1503,1502,1502,1505,1502,1500,1505,1506,1502,1503,1505,1503,1503,1502,1501,1505,1506,1507,1501,1508,1502,1501,1503,1506,1501,1503,1507,1500,1507,1506,1504,1504,1503,1500,1501,1501,1503,1504,1505,1503,1507,1504,1504,1507,1505,1504,1500,1504,1499,1499,1502,1499,1504,1505,1500,1504,1502,1502,1503,1505,1501,1504,1503,1502,1502,1507,1499,1503,1501,1503,1505,1505,1504,1504,1505,1507,1504,1500,1500,1503,1503,1505,1501,1502,1509,1501,1506,1504,1505,1505,1501,1502,1505,1503,1504,1504,1505,1504,1502,1506,1505,1502,1506,1502,1506,1505,1502,1505,1502,1503,1504,1502,1502,1501,1505,1503,1505,1502,1498,1504,1504,1504,1503,1502,1501,1506,1503,1504,1501,1506,1505,1501,1504,1505,1502,1503,1506,1501,1502,1504,1502,1505,1502,1502,1503,1503,1505,1500,1504,1505,1505,1501,1503,1506,1501,1501,1502,1506,1506,1502,1504,1504,1504,1501,1503,1505,1504,1503,1505,1506,1508,1507,1504,1507,1504,1500,1505,1503,1502,1501,1501,1504,1502,1501,1504,1504,1503,1500,1508,1501,1504,1505,1504,1506,1505,1503,1508,1504,1507,1502,1506,1503,1501,1499,1503,1502,1502,1500,1504,1502,1501,1503,1502,1506,1502,1505,1499,1503,1502,1503,1504,1502,1503,1505,1502,1508,1505,1503,1501,1505,1504,1505,1506,1503,1502,1501,1501,1506,1503,1501,1504
1506,1503,1503,1507,1501,1496,1502,1499,1506,1504,1507,1504,1502,1505,1500,1504,1503,1502,1502,1498,1503,1502,1496,1500,1504,1496,1503,1504,1500,1502,1499,1503,1498,1502,1507,1500,1503,1501,1501,1503,1503,1502,1501,1504,1504,1503,1501,1503,1503,1500,1503,1502,1500,1503,1506,1502,1503,1502,1504,1503,1504,1507,1504,1500,1505,1504,1503,1502,1506,1499,1504,1503,1502,1503,1502,1504,1502,1500,1505,1503,1504,1500,1502,1499,1502,1502,1506,1504,1503,1500,1503,1501,1500,1499,1501,1504,1503,1503,1506,1503,1504,1498,1500,1505,1502,1504,1503,1502,1505,1498,1503,1501,1500,1500,1502,1502,1503,1503,1502,1503,1499,1504,1502,1496,1502,1506,1506,1504,1500,1503,1501,1504,1506,1503,1503,1501,1502,1503,1502,1502,1504,1506,1501,1503,1502,1503,1501,1502,1500,1502,1503,1503,1501,1506,1504,1501,1506,1503,1504,1506,1506,1503,1502,1502,1506,1499,1506,1502,1505,1504,1500,1503,1502,1502,1505,1501,1504,1504,1504,1505,1506,1505,1500,1501,1501,1498,1503,1501,1505,1502,1500,1503,1506,1497,1497,1504,1500,1501,1506,1505,1506,1506,1504,1500,1498,1501,1503,1503,1506,1504,1502,1501,1502,1503,1503,1505,1503,1500,1503,1502,1501,1510,1505,1500,1507,1504,1500,1503,1502,1503,1504,1500,1504,1504,1501,1504,1504,1500,1501,1504,1505,1499,1504,1501,1503,1505,1507,1503,1500,1503,1500,1504,1501,1502,1502,1501,1502,1504,1502,1503,1503,1499,1504,1505,1507,1502,1502,1500,1502,1499,1506,1502,1501,1504,1500,1502,1501,1504,1501,1503,1501,1499,1499,1504,1501,1506,1503,1499,1500,1500,1503,1501,1506,1499,1504,1505,1506,1506,1504,1508,1505,1501,1500,1504,1504,1499,1501,1500,1501,1501,1505,1500,1501,1501,1501,1499,1502,1496,1504,1503,1502,1499,1500,1503,1502,1500,1503,1503,1499,1502,1500,1507,1502,1499,1506,1505,1500,1501,1502,1501,1501,1505,1503,1502,1501,1500,1504,1504,1502,1502,1500,1502,1507,1499,1501,1502,1502,1505,1502,1500,1503,1503,1506,1506,1502,1503,1503,1502,1503,1503,1505,1505,1501,1506,1503,1503,1500,1503,1507,1505,1501,1506,1503,1502,1502,1502,1504,1499,1502,1503,1505,1502,1503,1504,1504,1506,1502,1500,1502,1499,1501,1502,1505,1502,1504,1504,1506,1500,1503,1507,1502,1505,1502,1504,1500,1501,1504,1502,1504,1504,1505,1504,1505,1504,1502,1500,1502,1501,1507,1498,1503,1502,1503,1501,1501,1502,1503,1502,1504,1504,1505,1501,1501,1501,1505,1502,1504,1504,1504,1500,1503,1502,1501,1506,1506,1506,1506,1502,1501,1505,1502,1499,1503,1504,1502,1500,1502,1502,1501,1502,1500,1505,1502,1501,1502,1506,1502,1506,1502,1502,1501,1505,1501,1501,1505,1499,1502,1502,1505,1502,1500,1503,1501,1506,1509,1503,1503,1502,1505,1503
1505,1503,1501,1506,1501,1501,1502,1500,1505,1498,1505,1503,1502,1501,1500,1502,1507,1500,1501,1501,1498,1500,1502,1505,1500,1504,1502,1495,1502,1503,1504,1500,1501,1499,1504,1498,1498,1501,1497,1497,1501,1506,1502,1501,1501,1500,1501,1503,1502,1504,1502,1508,1504,1498,1499,1501,1504,1505,1502,1503,1502,1502,1502,1502,1504,1503,1502,1503,1498,1503,1502,1502,1499,1501,1505,1502,1503,1500,1498,1503,1501,1500,1503,1502,1505,1503,1503,1499,1500,1503,1500,1504,1500,1501,1505,1502,1504,1502,1505,1500,1504,1502,1503,1500,1504,1504,1501,1504,1503,1504,1508,1502,1505,1498,1503,1500,1498,1498,1504,1502,1501,1502,1504,1502,1501,1506,1499,1502,1501,1504,1506,1504,1498,1504,1503,1504,1499,1503,1502,1504,1507,1504,1506,1501,1502,1502,1502,1502,1500,1501,1499,1500,1504,1497,1504,1500,1503,1503,1499,1498,1502,1504,1504,1503,1505,1504,1498,1502,1499,1500,1501,1504,1503,1503,1498,1503,1504,1505,1501,1505,1503,1498,1499,1504,1500,1502,1504,1503,1503,1506,1504,1503,1504,1499,1501,1501,1503,1502,1499,1501,1505,1503,1504,1502,1499,1502,1499,1501,1503,1499,1505,1499,1502,1502,1505,1500,1503,1502,1503,1501,1503,1500,1503,1500,1503,1500,1502,1498,1503,1500,1501,1502,1503,1501,1499,1500,1504,1504,1505,1506,1504,1501,1503,1499,1501,1497,1505,1501,1502,1503,1497,1499,1500,1503,1503,1502,1504,1500,1502,1505,1502,1500,1504,1497,1500,1504,1502,1501,1503,1504,1501,1502,1502,1503,1502,1503,1501,1507,1496,1508,1503,1500,1498,1499,1500,1498,1504,1503,1501,1503,1502,1503,1503,1502,1503,1502,1502,1497,1501,1503,1502,1501,1504,1501,1498,1501,1503,1498,1503,1500,1499,1501,1504,1504,1500,1502,1505,1498,1503,1503,1501,1500,1503,1503,1501,1500,1504,1503,1503,1502,1500,1503,1502,1507,1506,1501,1506,1504,1499,1506,1501,1502,1499,1498,1502,1499,1502,1498,1507,1503,1502,1503,1505,1503,1504,1497,1502,1504,1500,1506,1500,1504,1499,1507,1499,1506,1501,1500,1503,1504,1502,1500,1502,1506,1502,1500,1503,1503,1503,1501,1503,1500,1504,1504,1505,1501,1503,1503,1504,1499,1502,1501,1501,1507,1506,1499,1507,1499,1503,1501,1502,1500,1499,1501,1499,1502,1505,1505,1501,1504,1500,1503,1501,1503,1500,1501,1500,1502,1505,1503,1498,1503,1505,1502,1501,1501,1502,1503,1506,1503,1504,1505,1500,1503,1503,1502,1503,1507,1499,1500,1504,1502,1503,1497,1501,1500,1504,1506,1499,1504,1500,1500,1504,1506,1498,1502,1500,1501,1502,1503,1503,1505,1502,1498,1501,1505,1505,1503,1506,1502,1503,1506,1506,1502,1502,1502,1500,1504,1502,1502,1503,1505,1502,1504,1504,1504,1503,1505,1500,1505,1502,1500,1501,1505,1500,1504,1503,1499,1499,1501
1501,1505,1506,1506,1504,1507,1504,1502,1500,1499,1503,1501,1504,1503,1500,1503,1507,1502,1504,1503,1508,1502,1504,1506,1506,1507,1500,1502,1508,1506,1507,1503,1502,1503,1504,1504,1507,1503,1502,1503,1503,1503,1506,1505,1503,1500,1505,1503,1507,1505,1498,1504,1505,1503,1501,1504,1503,1503,1504,1504,1506,1504,1502,1502,1501,1504,1504,1504,1503,1507,1501,1502,1505,1505,1504,1502,1506,1501,1502,1504,1504,1507,1504,1504,1507,1505,1503,1502,1503,1501,1504,1506,1503,1506,1505,1502,1501,1503,1501,1504,1504,1506,1500,1502,1503,1502,1506,1507,1502,1504,1502,1503,1504,1506,1507,1503,1505,1505,1504,1502,1506,1503,1502,1503,1501,1500,1504,1503,1504,1507,1502,1504,1502,1505,1508,1505,1505,1503,1500,1504,1506,1505,1503,1503,1502,1507,1500,1505,1500,1508,1502,1505,1507,1501,1504,1503,1505,1501,1505,1505,1506,1507,1502,1504,1504,1500,1502,1496,1502,1497,1504,1502,1504,1502,1507,1504,1504,1502,1501,1502,1502,1503,1502,1503,1504,1505,1507,1506,1501,1506,1508,1505,1506,1501,1504,1500,1505,1501,1507,1506,1501,1500,1506,1502,1503,1503,1503,1506,1503,1503,1505,1506,1501,1503,1508,1502,1504,1506,1503,1499,1504,1502,1504,1503,1501,1504,1502,1501,1506,1506,1505,1504,1505,1504,1501,1507,1505,1506,1503,1502,1505,1504,1502,1507,1505,1504,1501,1503,1504,1504,1505,1504,1502,1509,1505,1503,1502,1501,1501,1502,1504,1504,1505,1502,1504,1505,1504,1502,1504,1502,1504,1505,1504,1505,1503,1504,1504,1502,1502,1508,1505,1504,1507,1501,1505,1501,1502,1507,1504,1504,1501,1505,1503,1506,1506,1503,1501,1507,1503,1501,1506,1509,1502,1503,1504,1506,1503,1501,1503,1505,1500,1503,1503,1500,1500,1502,1501,1504,1503,1501,1501,1505,1504,1501,1509,1505,1500,1505,1504,1500,1505,1503,1504,1506,1500,1504,1506,1503,1502,1505,1499,1505,1504,1507,1502,1498,1502,1506,1506,1505,1505,1506,1508,1507,1507,1504,1506,1502,1504,1502,1507,1508,1508,1506,1500,1503,1505,1503,1502,1508,1501,1502,1503,1500,1504,1505,1505,1501,1503,1506,1503,1503,1503,1508,1506,1501,1501,1508,1506,1504,1505,1502,1506,1503,1505,1508,1507,1501,1505,1502,1501,1505,1508,1503,1509,1505,1505,1505,1504,1503,1502,1501,1501,1503,1507,1503,1502,1504,1508,1502,1506,1505,1502,1507,1508,1501,1504,1503,1504,1504,1508,1503,1505,1506,1506,1506,1505,1504,1504,1504,1504,1505,1503,1502,1503,1504,1504,1503,1504,1504,1505,1506,1502,1502,1503,1505,1502,1502,1499,1502,1501,1503,1499,1504,1505,1502,1505,1501,1506,1503,1505,1502,1502,1502,1503,1501,1506,1504,1508,1506,1504,1505,1503,1505,1502,1505,1505,1502,1504,1506,1503,1501,1503,1503,1507,1507,1502,1504,1508,1507
1502,1502,1505,1503,1504,1502,1504,1505,1503,1500,1500,1505,1499,1505,1503,1502,1502,1505,1504,1503,1507,1501,1501,1501,1501,1503,1502,1504,1503,1504,1505,1500,1503,1502,1502,1502,1502,1504,1503,1506,1503,1500,1502,1502,1504,1504,1505,1505,1500,1500,1504,1500,1504,1505,1507,1502,1503,1502,1504,1499,1503,1502,1503,1503,1500,1504,1502,1504,1503,1505,1506,1505,1504,1507,1501,1506,1500,1503,1499,1504,1501,1503,1503,1500,1501,1500,1505,1506,1502,1505,1500,1504,1503,1505,1502,1500,1503,1501,1501,1502,1502,1502,1504,1506,1501,1505,1500,1503,1503,1504,1503,1505,1500,1501,1505,1505,1507,1503,1503,1505,1502,1506,1500,1500,1504,1503,1504,1504,1502,1504,1500,1506,1501,1502,1508,1503,1503,1499,1505,1504,1504,1507,1501,1504,1501,1505,1505,1505,1502,1502,1504,1504,1509,1500,1502,1505,1504,1501,1501,1504,1502,1505,1500,1506,1503,1498,1501,1504,1501,1501,1504,1502,1505,1505,1503,1504,1505,1500,1499,1502,1504,1501,1500,1507,1504,1502,1503,1503,1503,1498,1503,1505,1506,1502,1504,1502,1503,1504,1504,1498,1499,1506,1500,1502,1502,1502,1503,1504,1506,1502,1503,1507,1502,1502,1499,1501,1501,1500,1507,1504,1502,1501,1502,1502,1500,1506,1503,1503,1503,1503,1503,1506,1501,1504,1502,1502,1505,1501,1499,1503,1507,1505,1501,1505,1505,1504,1504,1504,1506,1504,1503,1502,1502,1502,1503,1507,1507,1503,1505,1504,1503,1500,1500,1501,1503,1505,1502,1499,1500,1504,1503,1504,1504,1500,1504,1504,1502,1500,1502,1504,1501,1504,1507,1502,1501,1507,1500,1504,1504,1502,1501,1507,1505,1501,1501,1502,1505,1508,1499,1507,1505,1507,1505,1501,1506,1505,1504,1499,1501,1504,1502,1504,1505,1502,1501,1504,1504,1504,1501,1499,1504,1505,1500,1504,1504,1509,1502,1504,1502,1507,1505,1505,1504,1504,1506,1505,1503,1503,1506,1501,1502,1504,1507,1505,1503,1502,1500,1506,1504,1502,1503,1503,1504,1504,1499,1504,1504,1503,1501,1506,1503,1505,1501,1504,1505,1500,1502,1503,1502,1503,1504,1505,1504,1503,1508,1511,1502,1502,1502,1506,1507,1503,1504,1503,1505,1504,1500,1507,1503,1502,1505,1501,1503,1505,1504,1504,1507,1505,1502,1501,1506,1503,1501,1501,1502,1505,1499,1501,1505,1503,1503,1502,1510,1503,1503,1504,1507,1502,1500,1507,1502,1506,1501,1502,1503,1504,1504,1507,1505,1503,1502,1503,1507,1502,1503,1506,1501,1500,1505,1503,1504,1506,1504,1500,1505,1504,1505,1506,1503,1505,1507,1503,1502,1507,1507,1504,1504,1505,1503,1502,1505,1497,1501,1505,1502,1500,1500,1502,1499,1504,1504,1505,1505,1502,1506,1501,1504,1498,1505,1504,1503,1506,1503,1504,1506,1502,1506,1502,1504,1503,1502,1503,1507,1503,1502,1502,1504,1508,1501,1506
1506,1506,1499,1509,1506,1506,1508,1504,1502,1507,1505,1505,1504,1508,1506,1502,1506,1508,1510,1504,1506,1506,1501,1503,1502,1505,1508,1505,1507,1507,1504,1504,1506,1505,1508,1506,1507,1506,1506,1507,1502,1506,1504,1506,1503,1506,1507,1506,1508,1508,1508,1505,1511,1505,1503,1507,1503,1504,1507,1507,1506,1506,1505,1505,1506,1506,1504,1505,1504,1505,1505,1507,1505,1507,1503,1507,1505,1505,1506,1506,1506,1505,1504,1507,1503,1507,1508,1507,1503,1504,1506,1506,1504,1504,1505,1506,1507,1508,1505,1505,1501,1503,1505,1504,1505,1507,1503,1505,1508,1503,1510,1504,1504,1504,1507,1503,1506,1505,1505,1502,1504,1509,1504,1506,1505,1505,1507,1508,1505,1504,1506,1506,1504,1506,1500,1504,1507,1503,1508,1507,1504,1506,1502,1504,1506,1505,1506,1509,1505,1510,1508,1509,1507,1508,1506,1508,1506,1507,1506,1506,1507,1507,1505,1506,1505,1505,1505,1506,1508,1509,1502,1508,1507,1507,1506,1504,1503,1508,1505,1501,1506,1504,1505,1507,1503,1506,1504,1505,1504,1506,1505,1507,1507,1503,1507,1510,1506,1502,1508,1507,1505,1500,1503,1510,1505,1506,1503,1506,1506,1505,1503,1503,1503,1504,1501,1507,1507,1504,1506,1505,1505,1506,1506,1507,1505,1508,1507,1507,1504,1510,1507,1505,1502,1506,1502,1507,1506,1505,1501,1504,1504,1505,1506,1505,1507,1507,1505,1506,1504,1505,1507,1505,1507,1504,1507,1503,1503,1505,1506,1507,1503,1504,1507,1508,1507,1506,1503,1504,1505,1504,1505,1505,1506,1505,1504,1506,1505,1505,1510,1506,1503,1504,1503,1505,1509,1509,1506,1507,1508,1501,1507,1507,1506,1500,1505,1503,1508,1503,1504,1506,1507,1507,1505,1507,1507,1507,1503,1508,1506,1505,1508,1506,1506,1506,1507,1500,1502,1505,1505,1505,1507,1507,1506,1507,1503,1505,1507,1504,1504,1505,1504,1510,1503,1506,1509,1506,1504,1505,1504,1505,1506,1507,1503,1505,1504,1505,1501,1501,1503,1507,1504,1506,1508,1508,1500,1501,1506,1510,1505,1501,1505,1505,1505,1507,1504,1505,1502,1509,1505,1508,1503,1507,1500,1508,1504,1508,1505,1504,1504,1507,1508,1506,1506,1502,1503,1503,1507,1505,1508,1508,1506,1507,1509,1502,1504,1508,1507,1506,1503,1503,1508,1506,1507,1509,1506,1503,1504,1507,1502,1503,1506,1506,1503,1504,1504,1508,1506,1503,1504,1511,1506,1506,1507,1504,1504,1505,1504,1507,1504,1504,1504,1506,1505,1506,1503,1506,1505,1505,1502,1502,1507,1505,1506,1508,1504,1507,1506,1504,1505,1509,1506,1508,1510,1508,1503,1505,1507,1506,1508,1507,1504,1506,1504,1504,1508,1503,1504,1503,1504,1507,1505,1504,1506,1503,1507,1506,1505,1506,1502,1507,1508,1507,1504,1504,1503,1505,1505,1504,1505,1505,1504,1502,1508,1504,1506,1496,1507,1501,1505,1506
1503,1505,1504,1505,1502,1501,1506,1507,1501,1506,1502,1503,1502,1501,1501,1502,1503,1502,1502,1504,1500,1501,1502,1504,1502,1501,1502,1506,1502,1506,1501,1502,1500,1504,1502,1506,1503,1503,1501,1499,1500,1502,1505,1500,1503,1504,1501,1505,1505,1507,1500,1503,1506,1505,1499,1497,1500,1502,1502,1503,1497,1504,1503,1501,1504,1502,1505,1500,1501,1504,1504,1500,1500,1502,1501,1504,1505,1503,1500,1503,1508,1502,1501,1502,1503,1505,1503,1504,1503,1503,1505,1499,1503,1501,1503,1507,1502,1502,1504,1498,1504,1498,1502,1502,1504,1503,1501,1506,1502,1502,1503,1504,1500,1503,1501,1503,1501,1501,1506,1501,1503,1499,1505,1501,1504,1498,1503,1500,1499,1502,1506,1504,1504,1500,1503,1501,1503,1501,1508,1500,1501,1504,1501,1502,1500,1501,1503,1500,1501,1502,1505,1502,1502,1503,1505,1501,1505,1500,1503,1502,1504,1501,1502,1501,1504,1504,1500,1502,1501,1501,1502,1506,1501,1501,1505,1504,1501,1503,1505,1499,1503,1505,1503,1506,1504,1502,1505,1503,1503,1501,1503,1507,1504,1506,1501,1503,1502,1502,1503,1506,1499,1499,1501,1506,1502,1503,1503,1502,1499,1507,1499,1499,1503,1504,1504,1500,1504,1504,1507,1500,1502,1501,1504,1504,1501,1505,1501,1501,1504,1505,1502,1507,1502,1503,1502,1500,1503,1503,1503,1506,1502,1503,1502,1500,1501,1504,1508,1504,1500,1504,1501,1504,1503,1497,1505,1502,1502,1504,1503,1506,1507,1505,1502,1503,1502,1504,1502,1501,1503,1502,1503,1501,1500,1504,1499,1500,1501,1505,1501,1503,1502,1504,1503,1501,1501,1507,1504,1506,1503,1499,1506,1503,1503,1502,1502,1504,1504,1501,1502,1501,1500,1502,1504,1501,1502,1500,1502,1500,1502,1505,1502,1504,1500,1505,1503,1502,1503,1500,1505,1506,1503,1500,1503,1505,1499,1500,1506,1505,1503,1501,1501,1501,1506,1502,1505,1504,1505,1503,1501,1505,1499,1504,1500,1501,1503,1503,1503,1505,1501,1501,1501,1504,1502,1504,1508,1504,1504,1504,1506,1505,1505,1501,1502,1506,1497,1502,1506,1505,1505,1499,1507,1504,1503,1504,1502,1501,1504,1509,1501,1503,1499,1502,1504,1501,1501,1504,1503,1499,1499,1501,1501,1498,1504,1503,1502,1498,1505,1502,1504,1502,1504,1505,1502,1504,1504,1502,1507,1502,1508,1499,1502,1504,1506,1504,1502,1507,1502,1502,1502,1505,1503,1500,1503,1504,1504,1501,1504,1498,1505,1500,1503,1506,1498,1503,1503,1504,1502,1501,1503,1502,1505,1502,1503,1502,1503,1501,1506,1502,1503,1503,1502,1503,1505,1500,1504,1503,1506,1503,1502,1503,1505,1503,1501,1504,1505,1504,1503,1504,1507,1503,1502,1502,1503,1501,1499,1501,1501,1502,1505,1504,1502,1505,1502,1505,1508,1504,1503,1504,1502,1503,1502,1502,1503,1504,1504,1500,1502,1501,1503,1503
1500,1503,1502,1503,1502,1506,1501,1501,1503,1503,1504,1503,1502,1500,1500,1506,1504,1506,1502,1502,1504,1503,1502,1505,1501,1504,1497,1500,1500,1502,1499,1506,1504,1505,1501,1496,1503,1500,1504,1501,1502,1501,1499,1497,1503,1503,1499,1501,1506,1501,1504,1502,1501,1502,1504,1501,1502,1502,1501,1501,1502,1503,1499,1502,1498,1501,1502,1505,1505,1502,1504,1502,1503,1501,1503,1503,1501,1502,1500,1503,1503,1506,1498,1506,1504,1496,1498,1502,1504,1499,1498,1501,1504,1503,1501,1498,1501,1502,1506,1502,1499,1499,1504,1497,1501,1502,1501,1503,1504,1500,1500,1502,1501,1502,1503,1501,1500,1498,1501,1503,1501,1503,1504,1503,1503,1502,1499,1499,1503,1499,1504,1504,1501,1503,1499,1505,1502,1503,1502,1503,1502,1499,1499,1503,1503,1500,1505,1504,1501,1501,1504,1502,1499,1495,1501,1500,1502,1503,1505,1496,1501,1497,1501,1506,1502,1499,1503,1501,1501,1502,1504,1504,1500,1502,1501,1502,1504,1501,1501,1505,1503,1501,1503,1506,1502,1499,1504,1500,1502,1501,1502,1503,1504,1502,1504,1502,1502,1503,1502,1499,1502,1505,1501,1504,1500,1500,1502,1501,1501,1501,1502,1505,1503,1498,1503,1503,1501,1501,1500,1499,1501,1501,1500,1501,1503,1501,1504,1502,1503,1499,1501,1499,1502,1505,1503,1502,1497,1501,1501,1506,1501,1503,1502,1502,1499,1501,1502,1500,1504,1500,1503,1504,1504,1501,1502,1499,1503,1502,1505,1501,1503,1501,1497,1504,1498,1503,1501,1499,1502,1500,1502,1502,1500,1500,1499,1497,1504,1500,1502,1501,1504,1501,1499,1503,1502,1500,1494,1500,1500,1501,1503,1501,1502,1504,1500,1503,1505,1501,1504,1501,1503,1500,1505,1504,1501,1503,1502,1498,1496,1500,1501,1501,1500,1506,1500,1504,1503,1504,1507,1501,1502,1504,1505,1500,1501,1502,1502,1502,1505,1498,1500,1499,1494,1499,1499,1501,1501,1500,1500,1503,1498,1498,1504,1505,1501,1504,1499,1507,1501,1502,1503,1499,1501,1503,1496,1504,1503,1501,1499,1503,1503,1506,1505,1504,1500,1503,1502,1498,1498,1498,1501,1501,1496,1499,1497,1504,1501,1503,1501,1498,1499,1498,1501,1502,1504,1501,1500,1502,1500,1500,1502,1502,1498,1501,1502,1503,1507,1504,1496,1504,1505,1501,1503,1505,1499,1501,1501,1500,1502,1503,1498,1502,1499,1500,1502,1499,1504,1503,1504,1504,1506,1500,1504,1502,1500,1499,1500,1504,1501,1500,1502,1503,1499,1499,1503,1500,1500,1497,1501,1499,1502,1507,1501,1500,1504,1500,1504,1501,1500,1501,1501,1503,1500,1500,1503,1499,1500,1502,1502,1500,1499,1503,1501,1504,1502,1502,1503,1503,1501,1500,1504,1502,1500,1502,1500,1497,1502,1504,1504,1503,1505,1502,1503,1503,1502,1505,1502,1503,1500,1503,1506,1503,1507,1501,1500,1502,1501,1504,1504,1503
